batch_index,drift_applied,drift_score,rolling_macro_f1,baseline_macro_f1,drift_threshold,macro_f1_drop_threshold,pending_batches,pending_samples,buffer_size,candidate_reasons,update_triggered,model_version_before,model_version_after
1,0,5.389939623548666,0.1885056576352123,0.33092616479073667,1.5,0.08,0,0,512,,0,0,0
2,0,5.941479813055226,0.18722760743829805,0.33092616479073667,1.5,0.08,0,0,512,,0,0,0
3,0,1.132467160379155,0.2906573438845748,0.33092616479073667,1.5,0.08,0,0,512,,0,0,0
4,1,3.133833080293973,0.32929717137102843,0.33092616479073667,1.5,0.08,1,256,512,drift_score,0,0,0
5,1,2.411637886087805,0.3566950221919142,0.33092616479073667,1.5,0.08,2,512,512,drift_score,1,0,1
6,1,1.0623782312813197,0.42160969224250017,0.33092616479073667,1.5,0.08,1,256,922,,0,1,1
7,1,1.8582409979874366,0.3882117475250434,0.33092616479073667,1.5,0.08,2,512,922,drift_score,0,1,1
8,1,3.3729996731908614,0.4381148626034657,0.33092616479073667,1.5,0.08,3,768,922,drift_score,0,1,1
9,1,2.4409582161246677,0.40386708406712496,0.33092616479073667,1.5,0.08,4,1024,922,drift_score,0,1,1
10,1,1.7372922160401338,0.41119627771432943,0.33092616479073667,1.5,0.08,5,1280,922,drift_score,0,1,1
11,1,2.3897026835699124,0.3407769679720954,0.33092616479073667,1.5,0.08,6,1536,922,drift_score,0,1,1
12,1,1.8866213460929298,0.3206687304313084,0.33092616479073667,1.5,0.08,7,1754,922,drift_score,0,1,1
